0,-4111.773438
2,131.013382
4,-9.617832
6,-182.391907
8,76.935524
10,-80.602745
12,73.575623
14,37.897171
16,-8.633312
18,-227.697845
20,-56.167347
22,35.538845
24,-25.450148
26,-283.335876
28,237.880569
30,106.311844
32,-45.920868
34,-52.62117
36,285.326477
38,-25.092384
40,272.051971
42,4.001041
44,65.74852
46,-206.779572
48,-276.356567
50,-78.171295
52,88.640625
54,-62.768459
56,-176.699371
58,111.229858
60,-95.136742
62,-47.689308
64,6.654652
66,-143.434265
68,-276.919495
70,-208.389587
72,-80.519714
74,-77.59259
76,217.976334
78,112.756355
80,278.000916
82,-177.561584
84,-110.640358
86,69.567116
88,200.542557
90,88.924522
92,-321.057892
94,147.988174
96,252.568939
98,98.503868
100,15.213197
